","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Baddi,1,0,1,1,0,0,0,1,0,0,20,16,0,16,0,0,0,3,1,0,0,0,0,0,0,0,0,0,13,0,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,41
2,Bilaspur,0,0,0,0,0,0,0,0,0,0,20,19,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41
3,Chamba,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16,0,10,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,46
4,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Hamirpur,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,7,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
7,Kangra,2,0,2,0,0,1,0,0,0,0,45,6,0,6,0,0,0,39,0,0,0,0,0,0,0,0,0,0,25,0,9,0,0,82,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,5,87
8,Kinnaur,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
9,Kullu,1,0,1,0,0,0,0,1,0,0,27,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,51
10,Lahaul & Spiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Mandi,1,0,1,0,0,0,0,0,0,0,65,11,0,11,0,0,0,54,0,0,0,0,0,0,0,0,0,0,19,0,6,0,1,92,4,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,8,100
12,Shimla,0,0,0,0,0,0,0,0,0,0,57,13,0,13,0,0,0,44,0,0,0,0,0,0,0,0,0,0,38,0,10,0,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,109
13,Sirmaur,1,0,1,0,0,0,0,0,0,0,16,13,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,0,7,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,8,0,0,9,64
14,Solan,0,0,0,0,0,0,0,0,0,0,19,17,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,32
15,Una,0,0,0,0,0,0,0,1,0,0,9,4,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,3,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,2,0,0,4,29
16,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Districts ,6,0,6,2,0,1,0,3,0,0,312,132,39,93,0,0,0,177,1,0,2,0,0,0,0,0,0,0,196,0,68,0,10,598,5,0,0,0,2,2,0,1,1,0,0,0,0,1,0,1,1,1,0,5,0,5,0,0,0,0,1,5,0,19,17,2,3,38,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bokaro,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,32,37,25,0,0,136,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,207
2,Chaibasa,1,0,1,0,0,3,0,3,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,13,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,51,64
3,Chatra,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,65
4,Deoghar,1,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36,0,0,1,1,0,1,0,0,0,0,3,5,0,0,47,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,71
5,Dhanbad,0,0,0,0,0,0,0,0,3,0,34,0,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,6,0,5,0,0,48,132,19,17,2,101,94,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,180
6,Dhanbad Railway,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,Dumka,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,58
8,Garhwa,0,0,0,0,0,0,0,0,0,0,48,8,0,8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,88,71,71,0,11,11,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,136
9,Giridih,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12
10,Godda,1,1,0,0,0,0,0,0,0,0,60,60,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,73
11,Gumla,29,0,29,0,0,0,0,0,5,0,25,14,6,8,0,0,0,3,0,0,8,18,0,0,0,0,0,0,36,0,2,0,0,115,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,56,171
12,Hazaribagh,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,23,15,0,0,1,0,0,0,0,0,0,42,0,0,0,0,81,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,123
13,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36
14,Jamshedpur Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,Jamtara,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,16,16,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,36
16,Khunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
17,Koderma,0,0,0,0,0,0,0,0,0,0,25,10,10,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46
18,Latehar,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,18
19,Lohardagga,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,23,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30
20,Pakur,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
21,Palamu,0,0,0,0,0,0,0,0,0,0,47,8,8,0,0,1,0,1,37,0,0,0,0,0,0,0,0,0,0,0,27,0,2,76,76,46,46,0,27,27,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,3,0,0,4,0,4,0,84,160
22,Ramgarh,0,0,0,0,0,0,0,0,0,0,29,9,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,28,12,12,0,11,11,0,0,0,0,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,62
23,Ranchi,0,0,0,0,0,0,0,0,0,0,16,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,81
24,Sahebganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
25,Saraikela,0,0,0,0,0,0,0,0,0,0,29,9,9,0,3,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,29,34,14,14,0,7,7,0,0,0,0,13,13,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,37,66
26,Simdega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26
,Total Districts ,35,2,33,0,0,3,0,3,8,0,505,126,40,86,15,2,1,107,231,0,23,33,1,0,1,0,0,0,116,45,64,0,5,818,938,681,679,2,165,158,7,18,18,0,71,71,0,2,0,2,1,1,0,4,2,2,1,0,0,1,27,3,0,4,0,4,0,977,1795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bagalkot,3,0,3,0,1,0,0,5,0,0,24,21,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,31,23,23,0,2,2,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,35,76
2,Bengaluru City,8,0,8,0,1,0,0,19,0,1,648,636,625,11,0,0,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,41,718,278,219,219,0,43,42,1,12,12,0,1,1,0,0,0,0,3,3,0,10,6,4,0,0,0,0,7,9,0,81,59,22,0,385,1103
3,Bengaluru District,3,0,3,1,0,0,0,7,0,0,134,128,106,22,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,147,56,42,42,0,5,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,16,16,0,0,80,227
4,Belagavi District,8,1,7,0,2,0,0,4,0,0,37,34,19,15,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,14,66,87,62,62,0,13,13,0,4,4,0,8,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,13,0,0,0,0,0,103,169
5,Ballari,3,0,3,1,2,0,0,0,0,0,58,52,35,17,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,85,74,56,55,1,16,16,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,17,0,6,6,0,3,104,189
6,Bidar,4,0,4,0,0,0,0,12,3,0,25,23,16,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,56,101,27,22,21,1,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,36,137
7,Vijayapura,1,1,0,0,0,0,0,2,0,0,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,48,40,40,0,0,0,0,7,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,55,98
8,Chikkaballapura,1,1,0,0,1,0,0,5,0,0,44,44,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,96,84,84,0,7,7,0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,8,0,0,0,0,0,109,161
9,Chamarajnagar,2,0,2,0,0,0,0,2,0,0,15,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,47,36,24,24,0,5,5,0,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,40,87
10,Chikkamagaluru,7,0,7,0,0,0,0,3,1,1,56,54,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,80,74,54,54,0,18,18,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,82,162
11,Chitradurga,5,0,5,1,1,0,0,0,0,0,50,47,28,19,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,71,67,53,53,0,5,5,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,73,144
12,Dakshina Kannada,2,0,2,1,0,0,0,0,0,1,12,11,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,95,58,31,30,1,20,19,1,7,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,4,4,0,0,66,161
13,Davanagere,0,0,0,0,0,0,0,0,0,0,39,37,37,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,18,58,60,46,46,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,64,122
14,Dharwad,0,0,0,0,0,0,0,1,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,19,15,15,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,22,36
15,Gadag,3,0,3,0,0,0,0,1,0,0,18,2,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,18,59
16,Kalaburgi,2,0,2,0,2,0,0,7,1,0,13,12,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,31,62,41,41,0,18,18,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,63,94
17,Hassan,0,0,0,0,0,0,0,0,0,0,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,79,56,56,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,11,0,0,0,0,0,93,173
18,Haveri,1,0,1,0,0,0,0,3,0,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,90,59,48,48,0,7,7,0,3,3,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,61,151
19,Hubballi Dharwad City,0,0,0,1,0,0,2,3,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,26,20,20,0,1,1,0,0,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,31,59
20,K.G.F.,3,0,3,0,0,0,0,0,0,0,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,27,19,19,0,3,3,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,42
21,Kodagu,0,0,0,0,0,0,0,0,0,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,79,63,63,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,81,100
22,Kolar,5,0,5,0,0,0,0,2,0,0,45,43,42,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,42,36,36,0,4,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,48,101
23,Koppal,3,0,3,0,0,0,0,0,0,0,23,22,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,28,59,49,49,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,12,0,2,2,0,0,75,103
24,Mandya,0,0,0,0,0,0,0,2,0,0,81,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,71,53,53,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,81,164
25,Mangaluru City,3,0,3,0,0,0,0,0,3,0,19,19,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,48,35,23,23,0,10,10,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,39,87
26,Mysuru City,3,0,3,0,0,0,0,4,0,1,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,28,28,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,2,0,0,0,0,0,42,96
27,Mysuru District,0,0,0,0,0,0,0,1,0,0,68,67,60,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,121,53,40,40,0,9,9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,76,197
28,Raichur,1,0,1,0,0,0,0,4,0,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,96,45,35,35,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,2,2,0,0,78,174
29,K.Railways,3,0,3,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
30,Ramanagara,2,0,2,0,0,0,0,0,0,0,46,46,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,66,43,43,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,12,0,0,0,0,0,83,131
31,Shimoga,5,0,5,0,1,0,0,2,0,0,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,91,133,106,106,0,12,12,0,10,10,0,4,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,8,0,0,0,0,0,144,235
32,Tumakuru,1,0,1,2,5,0,0,7,8,0,63,61,56,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,148,59,33,33,0,21,21,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,2,2,0,0,65,213
33,Udupi,1,0,1,0,0,0,0,1,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,44,35,35,0,5,5,0,2,2,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,8,0,0,53,73
34,Uttara Kannada,3,0,3,0,0,0,0,0,0,0,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,102,46,40,40,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,49,151
35,Yadgiri,3,0,3,0,1,0,0,3,0,0,10,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,38,28,23,23,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30,68
36,Belagavi City,0,0,0,0,3,0,0,1,2,2,15,13,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,50,17,16,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,0,24,74
37,Kalaburgi City,1,0,1,0,0,0,0,2,0,0,10,8,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,12,8,8,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44
,Total Districts ,90,3,87,7,20,1,2,103,18,6,1936,1869,1734,135,0,0,9,27,26,0,5,2,0,0,0,0,0,0,0,0,6,0,750,2941,2104,1601,1598,3,337,335,2,95,95,0,57,54,3,4,0,4,10,10,0,41,11,30,0,0,0,0,54,184,0,144,122,22,3,2530,5471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alapuzha,1,0,1,0,1,0,0,0,5,0,12,2,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,50,3,21,94,114,75,74,1,25,22,3,8,6,2,3,3,0,2,0,2,1,0,1,11,1,10,0,0,0,0,0,0,0,7,6,1,0,132,226
2,Ernakulam Commr.,1,0,1,1,1,0,0,0,7,0,7,4,0,4,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,29,0,14,63,47,31,30,1,10,5,5,6,4,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,12,12,0,0,63,126
3,Ernakulam Rural,0,0,0,0,2,0,0,0,2,0,16,13,1,12,0,0,0,2,1,0,0,21,0,0,0,0,0,0,0,0,41,3,15,100,57,38,37,1,10,5,5,6,5,1,0,0,0,2,0,2,1,0,1,11,3,8,0,0,0,0,0,0,0,12,12,0,0,80,180
4,Idukki,1,0,1,1,0,0,0,0,4,0,7,5,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,3,9,63,131,94,94,0,25,24,1,8,6,2,1,0,1,2,0,2,1,0,1,26,5,21,0,0,0,0,0,1,0,2,0,2,1,161,224
